CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820840301,60,50,51,58,36,5,6,1,0,0,0,0,0,0,0,0,0,0,0,267
820840302,39,58,65,67,43,7,4,1,1,0,0,0,0,0,0,0,0,0,0,285
820840303,50,47,47,53,30,6,4,2,1,0,0,0,0,0,0,0,0,0,0,240
820840304,97,81,107,77,54,14,5,3,0,0,0,0,0,0,1,0,0,0,0,439
820840305,62,60,50,41,25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,243
820840306,54,83,79,72,40,17,3,1,1,1,0,0,0,0,0,0,0,0,0,351
820840307,18,35,41,56,37,10,4,0,0,0,0,0,0,0,0,0,0,0,0,201
820840308,61,60,48,35,21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,230
820840309,18,39,39,65,33,10,1,2,0,0,0,0,0,0,0,0,0,0,0,207
820840310,31,35,56,44,47,10,5,2,2,0,0,0,0,0,0,0,0,0,0,232
820840311,61,67,77,65,68,8,4,1,1,0,1,1,0,0,0,0,0,0,0,354
820840312,135,102,94,61,31,3,2,1,2,0,0,0,0,0,0,0,0,0,0,431
820840313,61,58,34,46,31,11,2,3,0,0,0,0,0,0,0,0,0,0,0,246
820840314,70,70,59,80,57,9,6,3,1,0,0,0,0,0,0,0,0,0,0,355
820840315,28,32,59,64,27,3,2,0,0,0,0,0,0,0,0,0,0,0,0,215
820840316,25,45,58,44,32,15,2,2,0,0,0,0,0,0,0,0,0,0,0,223
820840317,21,41,55,60,36,13,3,1,1,0,0,0,0,0,0,0,0,0,0,231
820840318,27,47,48,50,28,9,4,3,0,0,0,0,0,0,0,0,0,0,0,216
820840319,23,32,72,76,72,10,5,5,1,0,0,0,0,0,0,0,0,0,0,296
820840320,25,37,42,50,46,7,1,0,2,2,0,0,0,0,0,0,0,0,0,212
820840321,44,45,31,35,29,9,0,0,0,0,0,0,1,0,0,0,0,0,0,194
820840322,41,44,55,37,22,10,2,1,0,0,0,0,0,0,0,0,0,0,0,212
820840323,50,70,47,47,18,4,3,0,2,0,0,0,0,0,0,0,0,0,0,241
820840324,39,48,51,91,32,5,2,1,0,0,0,0,0,0,0,0,0,0,0,269
