CodigoRadioCensal,Total_Poblacion
820840301,805
820840302,920
820840303,736
820840304,1316
820840305,653
820840306,1095
820840307,708
820840308,604
820840309,721
820840310,809
820840311,1142
820840312,1078
820840313,722
820840314,1121
820840315,692
820840316,745
820840317,804
820840318,711
820840319,1111
820840320,742
820840321,579
820840322,634
820840323,672
820840324,864
820840325,297
820840326,980
820840327,762
820840328,749
820840329,871
820840330,692
820840331,679
820840332,312
820840333,739
820840334,963
820840335,814
820840336,1079
820840337,1166
820840338,620
820840339,747
820840401,587
820840402,737
820840403,901
820840404,626
820840405,500
820840406,956
820840407,558
820840408,801
820840409,552
820840410,673
820840411,776
820840412,818
820840413,571
820840414,703
820840415,526
820840416,309
820840417,247
820840418,408
820840419,178
820840420,897
820840421,613
820840422,720
820840423,544
820840424,592
820840425,700
820840426,526
820840427,1095
820840428,870
820840429,1241
820840430,480
820840501,617
820840502,940
820840503,706
820840504,424
820840505,910
820840506,544
820840507,821
820840508,428
820840509,793
820840510,656
820840511,789
820840512,414
820840513,609
820840514,527
820840515,515
820840516,808
820840517,859
820840518,496
820840519,446
820840520,570
820840521,425
820840522,457
820840523,484
820840524,503
820840601,720
820840602,877
820840603,865
820840604,843
820840605,598
820840606,1064
820840607,667
820840608,733
820840609,600
820840610,1100
820840611,1044
820840612,496
820840613,503
820840614,618
820840615,833
820840616,842
820840617,1018
820840618,961
820840619,816
820840620,826
820840621,633
820840622,861
820840623,1195
820840624,621
820840625,611
820840626,508
820840627,545
820840628,630
820840629,830
820840630,960
820840701,861
820840702,995
820840703,712
820840704,870
820840705,552
820840706,783
820840707,1174
820840708,876
820840709,597
820840710,537
820840711,651
820840712,818
820840713,512
820840714,713
820840715,875
820840716,630
820840717,726
820840718,638
820840719,703
820840720,504
820840721,838
820840722,328
820840723,839
820840724,921
820840725,722
820840726,664
820840727,624
820840728,801
820840729,644
820840730,1429
820840731,796
820840732,450
820840733,459
820840734,934
820840801,379
820840802,447
820840803,488
820840804,358
820840805,508
820840806,818
820840807,773
820840808,1011
820840809,354
820840810,773
820840811,1376
820840812,490
820840813,478
820840814,515
820840815,536
820840816,400
820840817,432
820840901,810
820840902,481
820840903,673
820840904,781
820840905,444
820840906,754
820840907,688
820840908,773
820840909,492
820840910,499
820840911,509
820840912,399
820840913,418
820840914,438
820841001,689
820841002,771
820841003,708
820841004,1121
820841005,848
820841006,977
820841007,808
820841008,756
820841009,589
820841010,1163
820841011,699
820841012,648
820841013,747
820841014,687
820841015,848
820841016,365
820841017,517
820841018,544
820841019,893
820841020,1379
820841021,989
820841022,677
820841023,497
820841024,950
820841025,822
820841026,670
820841027,845
820841028,624
820841029,641
820841030,755
820841031,774
820841032,894
820841033,580
820841034,560
820841035,820
820841036,647
820841037,818
820841101,792
820841102,623
820841103,975
820841104,753
820841105,1064
820841106,1139
820841107,866
820841108,813
820841109,94
820841110,803
820841111,993
820841112,851
820841113,627
820841114,621
820841115,702
820841116,912
820841117,963
820841118,854
820841119,876
820841120,674
820841121,687
820841122,881
820841123,617
820841201,849
820841202,1615
820841203,1091
820841204,1088
820841205,934
820841206,989
820841207,737
820841208,750
820841209,1135
820841210,983
820841211,766
820841212,732
820841213,579
820841214,558
820841215,919
820841216,638
820841217,804
820841218,631
820841219,937
820841220,926
820841221,1092
820841222,765
820841223,770
820841224,826
820841225,669
820841226,867
820841227,419
820841228,978
820841301,927
820841302,544
820841303,755
820841304,817
820841305,773
820841306,1130
820841307,919
820841308,1085
820841309,437
820841310,517
820841311,494
820841312,642
820841313,688
820841314,948
820841315,665
820841316,476
820841317,449
820841318,410
820841319,299
820841320,551
820841401,789
820841402,568
820841403,395
820841404,904
820841405,687
820841406,930
820841407,810
820841408,771
820841409,606
820841410,920
820841411,494
820841412,365
820841501,1237
820841502,629
820841503,749
820841504,909
820841505,645
820841506,714
820841507,1039
820841508,1222
820841509,309
820841510,373
820841511,788
820841512,371
820841513,658
820841601,471
820841602,499
820841603,605
820841604,774
820841605,453
820841606,552
820841607,519
820841608,616
820841609,489
820841610,419
820841611,589
820841612,334
820841613,335
820841614,403
820841615,442
820841616,598
820841617,470
820841618,385
820841619,520
820841620,579
820841621,358
820841622,327
820841701,475
820841702,515
820841703,642
820841704,700
820841705,527
820841706,406
820841707,681
820841708,516
820841709,433
820841710,593
820841711,596
820841712,510
820841713,281
820841714,375
820841715,161
820841716,445
820841717,531
820841718,537
820841719,733
820841720,285
820841721,271
820841722,371
820841723,593
820841724,472
820841725,447
820841726,376
820841727,339
820841801,303
820841802,401
820841803,568
820841804,706
820841805,863
820841806,613
820841807,972
820841808,680
820841809,557
820841810,417
820841811,681
820841812,404
820841813,577
820841814,560
820841815,485
820841816,361
820841817,300
820841818,600
820841819,413
820841820,512
820841821,337
820841822,392
820841823,642
820841824,271
820841901,913
820841902,792
820841903,955
820841904,692
820841905,566
820841906,610
820841907,590
820841908,351
820841909,561
820841910,343
820841911,354
820841912,786
820841913,428
820841914,386
820841915,628
820841916,713
820841917,651
820841918,482
820841919,392
820841920,475
820841921,473
820841922,244
820841923,445
820841924,614
820841925,550
820841926,688
820841927,432
820841928,315
820841929,422
820841930,630
820842001,298
820842002,296
820842003,1002
820842004,509
820842005,705
820842006,489
820842007,694
820842008,484
820842009,684
820842010,458
820842011,576
820842012,606
820842013,713
820842014,621
820842015,340
820842016,319
820842017,287
820842018,531
820842019,416
820842101,620
820842102,268
820842103,715
820842104,971
820842105,528
820842106,101
820842107,338
820842108,790
820842109,612
820842110,583
820842111,493
820842112,369
820842113,200
820842114,952
820842115,398
820842116,282
820842117,371
820842118,348
820842119,469
820842120,283
820842121,430
820842201,609
820842202,514
820842203,489
820842204,6
820842205,774
820842206,827
820842207,343
820842208,690
820842209,615
820842210,770
820842211,447
820842212,859
820842213,437
820842214,421
820842215,468
820842216,318
820842301,710
820842302,602
820842303,717
820842304,560
820842305,730
820842306,500
820842307,836
820842308,766
820842309,407
820842310,513
820842311,518
820842312,859
820842313,770
820842314,792
820842315,612
820842316,725
820842317,562
820842318,609
820842319,504
820842320,567
820842321,515
820842322,632
820842323,667
820842324,473
820842325,465
820842326,406
820842401,559
820842402,736
820842403,410
820842404,404
820842405,638
820842406,653
820842407,422
820842408,565
820842409,954
820842410,389
820842411,460
820842412,750
820842413,348
820842414,434
820842415,635
820842416,726
820842417,516
820842418,544
820842419,478
820842420,483
820842421,313
820842422,233
820842423,556
820842501,589
820842502,552
820842503,383
820842504,245
820842505,553
820842506,682
820842507,548
820842508,667
820842509,796
820842510,345
820842511,526
820842512,875
820842513,611
820842514,184
820842515,457
820842516,178
820842601,668
820842602,640
820842603,819
820842604,249
820842605,550
820842606,735
820842607,364
820842608,766
820842609,363
820842610,758
820842611,600
820842612,428
820842613,511
820842614,543
820842615,477
820842616,343
820842617,667
820842618,617
820842619,395
820842620,567
820842621,568
820842622,879
820842623,572
820842624,542
820842625,367
820842626,673
820842627,323
820842628,269
820842629,566
820842630,370
820842701,593
820842702,602
820842703,365
820842704,489
820842705,394
820842706,371
820842707,726
820842708,561
820842709,254
820842710,371
820842711,324
820842712,409
820842713,599
820842714,345
820842715,474
820842716,378
820842717,262
820842718,381
820842719,446
820842720,491
820842721,585
820842722,461
820842723,508
820842724,419
820842725,255
820842726,304
820842727,347
820842728,251
820842729,390
820842730,294
820842731,285
820842801,416
820842802,297
820842803,661
820842804,706
820842805,279
820842806,74
820842807,791
820842808,259
820842809,569
820842810,418
820842811,593
820842812,466
820842813,536
820842814,466
820842815,482
820842816,247
820842817,482
820842818,450
820842819,415
820842820,683
820842821,501
820842822,492
820842823,363
820842824,352
820842825,653
820842826,555
820842827,303
820842828,496
820842829,491
820842830,366
820842831,417
820842832,301
820842833,513
820842834,382
820842901,586
820842902,463
820842903,448
820842904,291
820842905,424
820842906,494
820842907,293
820842908,357
820842909,253
820842910,394
820842911,315
820842912,340
820842913,758
820842914,728
820842915,530
820842916,359
820842917,622
820842918,535
820842919,600
820842920,483
820842921,437
820842922,452
820842923,604
820842924,632
820842925,433
820842926,408
820842927,473
820842928,671
820842929,340
820842930,369
820842931,593
820842932,302
820842933,335
820842934,285
820842935,345
820842936,393
820842937,290
820842938,481
820842939,477
820842940,577
